city,state,latitude,longitude
Nanjangud,Karnataka,12.12,76.68
Chittorgarh,Rajasthan,24.879999,74.629997
Ratnagiri,Maharashtra,16.994444,73.300003
Goregaon,Maharashtra,19.155001,72.849998
Pindwara,Rajasthan,24.7945,73.055
Raipur,Chhattisgarh,21.25,81.629997
Gokak,Karnataka,16.1667,74.833298
Lucknow,Uttar Pradesh,26.85,80.949997
Delhi,Delhi,28.679079,77.06971
Mumbai,Maharashtra,19.07609,72.877426
Sagar,Karnataka,14.16704,75.040298
Jalpaiguri,West Bengal,26.540457,88.719391
Pakur,Jharkhand,24.633568,87.849251
Sardarshahar,Rajasthan,28.440554,74.493011
Sirohi,Rajasthan,24.882618,72.858894
Jaysingpur,Maharashtra,16.779877,74.556374
Ramanagara,Karnataka,12.715035,77.281296
Chikkaballapura,Karnataka,13.432515,77.727478
Channapatna,Karnataka,12.651805,77.208946
Surendranagar,Gujarat,22.728392,71.637077
Thiruvalla,Kerala,9.383452,76.574059
Ranebennur,Karnataka,14.623801,75.621788
Karaikal,Puducherry,10.92544,79.838005
Belgaum,Karnataka,15.852792,74.498703
Chatrapur,Odisha,19.354979,84.986732
Suri,West Bengal,23.905445,87.52462
Bhubaneswar,Odisha,20.296059,85.824539
Mahuva,Gujarat,21.105001,71.771645
Jagadhri,Haryana,30.172716,77.299492
Barh,Bihar,25.477585,85.709091
Bhusawal,Maharashtra,21.045521,75.801094
Alipurduar,West Bengal,26.49189,89.5271
Kollam,Kerala,8.893212,76.614143
Medinipur,West Bengal,22.430889,87.321487
Patan,Gujarat,23.849325,72.126625
Mettur,Tamil Nadu,11.786253,77.800781
Huliyar,Karnataka,13.583274,76.540154
Harihar,Karnataka,14.530457,75.801094
Rasayani,Maharashtra,18.901457,73.176132
Haringhata,West Bengal,22.96051,88.567406
Kushtagi,Karnataka,15.756595,76.192696
Jadugora,Jharkhand,22.656015,86.352882
Orai,Uttar Pradesh,25.989836,79.450035
Surajpur,Chhattisgarh,23.223047,82.87056
Ambernath,Maharashtra,19.186354,73.191948
Malerkotla,Punjab,30.525005,75.890121
Jorapokhar,Jharkhand,22.422455,85.760651
Vizianagaram,Andhra Pradesh,18.106659,83.395554
Durg,Chhattisgarh,21.190449,81.28492
Himmatnagar,Gujarat,23.597969,72.969818
Sambhal,Uttar Pradesh,28.590361,78.571762
Harnaut,Bihar,25.369179,85.53006
Port Blair,Andaman and Nicobar Islands,11.623377,92.726486
Suti,West Bengal,24.618393,88.024338
Banswara,Rajasthan,23.546757,74.43383
Manikchak,West Bengal,25.077787,87.900375
Roorkee,Uttarakhand,29.854263,77.888
Kavali,Andhra Pradesh,14.913181,79.992981
Dharmavaram,Andhra Pradesh,14.413745,77.712616
Siddipet,Telangana,18.101904,78.852074
Dhanpuri,Madhya Pradesh,23.173939,81.565125
Chirala,Andhra Pradesh,15.812074,80.355377
Markapur,Andhra Pradesh,15.764501,79.259491
Chalakudy,Kerala,10.311879,76.331978
Gondal,Gujarat,21.961946,70.792297
Bhimavaram,Andhra Pradesh,16.544893,81.52124
Jalgaon Jamod,Maharashtra,21.04954,76.532028
Paltan Bazaar,Assam,26.182245,91.754723
Hodal,Haryana,27.897551,77.384117
Ausa,Maharashtra,18.245655,76.505356
Mahidpur,Madhya Pradesh,23.486839,75.659157
Gurdaspur,Punjab,32.041943,75.405334
Domchanch,Jharkhand,24.47438,85.688744
Barjora,West Bengal,23.427221,87.287018
Saint Dnyaneshwar Garden and Paithan park,Maharashtra,19.487707,75.380768
Sinnar,Maharashtra,19.85306,74.000633
Guntakal,Andhra Pradesh,15.167409,77.373627
Lalgola,West Bengal,24.417534,88.250343
Hoshangabad,Madhya Pradesh,22.744108,77.736969
Proddatur,Andhra Pradesh,14.752805,78.552757
Pali,Rajasthan,25.771315,73.323685
Palwal,Haryana,28.148735,77.332024
Gohana,Haryana,29.138407,76.693245
Munger,Bihar,25.37571,86.474373
Yavatmal,Maharashtra,20.388794,78.120407
Bokaro Steel City,Jharkhand,23.669296,86.151115
Jetpur,Gujarat,21.761524,70.627625
Basirhat,West Bengal,22.657402,88.86718
Konnagar,West Bengal,22.700474,88.319069
Ranchi,Jharkhand,23.344315,85.296013
Gudur,Andhra Pradesh,14.146319,79.850388
Gola Gokarannath,Uttar Pradesh,28.078636,80.471588
Shikohabad,Uttar Pradesh,27.108416,78.584602
Tirumangalam,Tamil Nadu,9.823619,77.986565
Anakaputhur,Tamil Nadu,12.946366,79.959244
Suryapet,Telangana,17.143908,79.623924
Udupi,Karnataka,13.340881,74.742142
Nandyal,Andhra Pradesh,15.478569,78.483093
Begusarai,Bihar,25.416676,86.129379
Contai,West Bengal,21.779188,87.744629
Naya Raipur,Chhattisgarh,21.164993,81.775307
Payradanga,West Bengal,23.125587,88.546867
Maheshtala,West Bengal,22.511976,88.250992
Vaniyambadi,Tamil Nadu,12.695032,78.621887
Shahdol,Madhya Pradesh,23.302189,81.356804
Aruppukkottai,Tamil Nadu,9.515625,78.100014
Salipur,Odisha,20.484348,86.119194
Sasaram,Bihar,24.953514,84.011787
Mahuva,Gujarat,21.092159,71.770462
Bihta,Bihar,25.563322,84.869804
Dahod,Gujarat,22.835602,74.255989
Najibabad,Uttar Pradesh,29.607981,78.342674
Bagaha,Bihar,27.122196,84.072235
Jamalpur,Bihar,25.312717,86.490608
Fatehpur,Uttar Pradesh,25.920074,80.809998
Dindigul,Tamil Nadu,10.365581,77.970657
Chakradharpur,Jharkhand,22.668312,85.625511
Porbandar,Gujarat,21.640575,69.605965
Ghatal,West Bengal,22.663696,87.746803
Khidirpur,West Bengal,22.542061,88.318954
Mandya,Karnataka,12.523731,76.894684
Dahanu,Maharashtra,19.990751,72.743675
Sri Muktsar Sahib,Punjab,30.480042,74.518204
Kanchipuram,Tamil Nadu,12.834174,79.703644
Dhanpur,Gujarat,22.633492,74.095993
Bengaluru,Karnataka,12.971599,77.594566
Muzaffarnagar,Uttar Pradesh,29.471397,77.696732
Chhatarpur,Madhya Pradesh,24.916355,79.581184
Bongaigaon,Assam,26.500999,90.535233
RAK Tiles,Himachal Pradesh,31.604889,76.919533
Nilanga,Maharashtra,18.125875,76.750969
Amreli,Gujarat,21.603176,71.222084
Bulandshahar,Uttar Pradesh,28.411331,77.848434
Kharagpur,West Bengal,22.34601,87.231972
Arrah,Bihar,25.556044,84.660332
Fatehpur,Rajasthan,27.99502,74.961792
Seoni,Madhya Pradesh,22.086868,79.543488
Siliguri,West Bengal,26.732311,88.410286
Mangaluru,Karnataka,12.915605,74.855965
Kandi,West Bengal,23.9468,88.049713
Khammam,Telangana,17.247253,80.151443
Morshi,Maharashtra,21.324196,78.013832
Vijaypur,Jammu and Kashmir,32.564522,75.023148
Santha,Uttar Pradesh,26.994154,83.034798
Chalisgaon,Maharashtra,20.464079,74.996857
Etawah,Uttar Pradesh,26.811712,79.004692
Simlapal,West Bengal,22.916706,87.070351
Lakhimpur,Uttar Pradesh,27.94908,80.782402
Masaurhi,Bihar,25.35128,85.031143
Bhatta,Gujarat,23.00795,72.553757
Sultanpur,Uttar Pradesh,26.264776,82.072708
Kotulpur,West Bengal,23.012794,87.593948
Pithampur,Madhya Pradesh,22.610683,75.680862
Bela Pratapgarh,Uttar Pradesh,25.912968,81.991653
Ghazipur,Uttar Pradesh,25.584042,83.577019
Buxar,Bihar,25.564711,83.977745
Baran,Rajasthan,25.101145,76.513161
Saideep Enterprises,Maharashtra,19.969227,73.743195
Hazaribagh,Jharkhand,23.99662,85.36911
Rudrapur,Uttarakhand,28.978298,79.399612
Success Point,Maharashtra,20.112093,79.118698
Balaghat,Madhya Pradesh,21.812876,80.18383
Thodupuzha,Kerala,9.897157,76.713409
Kothagudem,Telangana,17.554356,80.619736
Debra,West Bengal,22.369043,87.55442
Khambhat,Gujarat,22.318083,72.618988
Kalaburagi,Karnataka,17.320486,76.839752
Palampur,Himachal Pradesh,32.110542,76.536224
Bargarh,Odisha,21.342585,83.624199
Jaunpur,Uttar Pradesh,25.748695,82.698441
Bahraich,Uttar Pradesh,27.570839,81.598022
Shegaon,Maharashtra,20.792713,76.694328
Ballari,Karnataka,15.139393,76.92144
Hapur,Uttar Pradesh,28.730579,77.775879
Kashipur,Uttarakhand,29.210421,78.96183
Sikandra,Uttar Pradesh,26.367811,79.629158
Palakkad,Kerala,10.784703,76.653145
Almora,Uttarakhand,29.594189,79.653893
Dhar,Madhya Pradesh,22.601292,75.302467
Ameerpet,Telangana,17.437462,78.448288
Georai,Maharashtra,19.263334,75.752426
Kodad,Telangana,16.99708,79.967361
Kalaigaon,Assam,26.57448,91.975243
Newasa,Maharashtra,19.551146,74.928162
Jalgaon,Maharashtra,21.004194,75.563942
Mahasamund,Chhattisgarh,21.109133,82.0979
Giridih,Jharkhand,24.184713,86.302193
Purnea,Bihar,25.771103,87.482185
Kotputli,Rajasthan,27.703669,76.201195
Jhalawar,Rajasthan,24.597349,76.16098
Sitarganj,Uttarakhand,28.923548,79.700722
Barauda,Chhattisgarh,21.191774,81.718285
Sangareddy,Telangana,17.611629,78.08181
Azamgarh,Uttar Pradesh,26.072067,83.185654
Suratgarh,Rajasthan,29.320511,73.899399
Gingee,Tamil Nadu,12.252576,79.416924
Samastipur,Bihar,25.862968,85.781029
Ballia,Uttar Pradesh,25.758503,84.148911
Jahanabad,Bihar,25.213928,84.989555
Kekri,Rajasthan,25.973787,75.151535
Dholpur,Rajasthan,26.702518,77.893394
Hosur,Tamil Nadu,12.735126,77.829338
Bisalpur,Uttar Pradesh,28.293783,79.804459
Jhansi,Uttar Pradesh,25.436298,78.567352
Korba,Chhattisgarh,22.363848,82.73484
Tadepalligudem,Andhra Pradesh,16.814524,81.526558
Rajnandgaon,Chhattisgarh,21.097855,81.033707
Gumla,Jharkhand,23.041924,84.540833
Kuchaman City,Rajasthan,27.147869,74.859489
Sankari,Tamil Nadu,11.477696,77.873886
Forbesganj,Bihar,26.298552,87.265388
Thandalam,Tamil Nadu,12.999464,80.117729
Sahibzada Ajit Singh Nagar,Punjab,30.704649,76.717873
Etah,Uttar Pradesh,27.55875,78.662567
Nabadwip,West Bengal,23.406979,88.365593
Sri Ganganagar,Rajasthan,29.903839,73.87719
Hanamkonda,Telangana,18.007202,79.558296
Ramagundam,Telangana,18.76182,79.480904
Mau,Uttar Pradesh,25.949638,83.558647
Gangakhed,Maharashtra,18.966354,76.748077
Rahon,Punjab,31.052128,76.1175
Mansa,Gujarat,23.426788,72.657074
Narwana,Haryana,29.592957,76.119247
